,Event ID,Description,Cluster,Demand,PM
400,17554,Skin Inc. Face & Body Spa Expo and Conference Southeast,MEET,2,0.177786342
401,11082,TMC 2019 Annual Meeting & Transportation Technology Exhibition,CONV,2,0.189905621
402,6121,2019 Atlanta International Auto Show,SMALL,1,0.175356216
403,5501,Hinman Dental Meeting,CONV,2,0.186260022
404,16964,Georgia Bridal & Wedding Expo,PUB,2,0.167784818
405,17152,Starpower International Talent Competition,COMP,2,0.197071741
406,20072,Dental Dash at Dawn 5k,CHRTY_GRAD,0,0.194429146
407,21889,Lovestruck,FILM_AWC,0,0.194636452
408,21957,Get Motivated Atlanta,PUB,2,0.196611678
409,10925,AACR Annual Meeting 2019,CONV,2,0.095373131
